"Grandma Flo's German Potato Salad","red potato"
"Grandma Flo's German Potato Salad","onion"
"Grandma Flo's German Potato Salad","vinegar"
"Grandma Flo's German Potato Salad","sugar"
"Grandma Flo's German Potato Salad","bacon"
"Grandma Flo's German Potato Salad","half-and-half"
"Grandma Flo's German Potato Salad","salt and pepper"
"German Style Hot Chicken Cabbage Slaw","chicken"
"German Style Hot Chicken Cabbage Slaw","sugar"
"German Style Hot Chicken Cabbage Slaw","cider vinegar"
"German Style Hot Chicken Cabbage Slaw","cabbage"
"German Style Hot Chicken Cabbage Slaw","onion"
"German Style Hot Chicken Cabbage Slaw","salt and pepper"
"Sour Cherry Pie","cherry"
"Sour Cherry Pie","sugar"
"Sour Cherry Pie","flour"
"Sour Cherry Pie","salt"
"Sour Cherry Pie","cinnamon"
"Sour Cherry Pie","minute tapioca"
"Sour Cherry Pie","butter"
"Coconut Bundt Cake With Powdered-Sugar Glaze","cake flour"
"Coconut Bundt Cake With Powdered-Sugar Glaze","salt"
"Coconut Bundt Cake With Powdered-Sugar Glaze","butter"
"Coconut Bundt Cake With Powdered-Sugar Glaze","sugar"
"Coconut Bundt Cake With Powdered-Sugar Glaze","egg"
"Coconut Bundt Cake With Powdered-Sugar Glaze","vanilla extract"
"Coconut Bundt Cake With Powdered-Sugar Glaze","coconut extract"
"Coconut Bundt Cake With Powdered-Sugar Glaze","unsweetened coconut milk"
"Coconut Bundt Cake With Powdered-Sugar Glaze","coconut flake"
"Coconut Bundt Cake With Powdered-Sugar Glaze","powdered sugar"
"Coconut Bundt Cake With Powdered-Sugar Glaze","sweetened coconut flake"
"No Fuss No Mess Potato Pancakes","milk"
"No Fuss No Mess Potato Pancakes","potato"
"No Fuss No Mess Potato Pancakes","onion"
"No Fuss No Mess Potato Pancakes","egg"
"No Fuss No Mess Potato Pancakes","flour"
"No Fuss No Mess Potato Pancakes","baking powder"
"No Fuss No Mess Potato Pancakes","salt and pepper"
"Off the Wall German Chocolate Cake","devil's food cake mix"
"Off the Wall German Chocolate Cake","water"
"Off the Wall German Chocolate Cake","vegetable oil"
"Off the Wall German Chocolate Cake","egg"
"Off the Wall German Chocolate Cake","vanilla frosting"
"Off the Wall German Chocolate Cake","coconut flake"
"Off the Wall German Chocolate Cake","pecan"
"Off the Wall German Chocolate Cake","caramel ice cream topping"
"Off the Wall German Chocolate Cake","oreo cookie"
"Spaetzle","egg"
"Spaetzle","oil"
"Spaetzle","water"
"Spaetzle","milk"
"Spaetzle","all-purpose flour"
"Spaetzle","salt"
"Spaetzle","baking powder"
"Spaetzle","water"
"Latkes (Potato Pancakes)","potato"
"Latkes (Potato Pancakes)","egg"
"Latkes (Potato Pancakes)","salt"
"Latkes (Potato Pancakes)","matzo meal"
"Latkes (Potato Pancakes)","baking powder"
"Latkes (Potato Pancakes)","onion"
"Latkes (Potato Pancakes)","black pepper"
"Latkes (Potato Pancakes)","paprika"
"Latkes (Potato Pancakes)","vegetable oil"
"Grandma's Secret Wiener Schnitzel Recipe","turkey cutlet"
"Grandma's Secret Wiener Schnitzel Recipe","breadcrumb"
"Grandma's Secret Wiener Schnitzel Recipe","lemon juice"
"Grandma's Secret Wiener Schnitzel Recipe","parsley flake"
"Grandma's Secret Wiener Schnitzel Recipe","egg"
"Grandma's Secret Wiener Schnitzel Recipe","cooking oil"
"Great-Aunt Fannie Old Traditional Potato Soup","potato"
"Great-Aunt Fannie Old Traditional Potato Soup","onion"
"Great-Aunt Fannie Old Traditional Potato Soup","celery"
"Great-Aunt Fannie Old Traditional Potato Soup","carrot"
"Great-Aunt Fannie Old Traditional Potato Soup","water"
"Great-Aunt Fannie Old Traditional Potato Soup","butter"
"Great-Aunt Fannie Old Traditional Potato Soup","milk"
"Great-Aunt Fannie Old Traditional Potato Soup","evaporated milk"
"Great-Aunt Fannie Old Traditional Potato Soup","paprika"
"Fantabulous Hot German Potato Salad","potato"
"Fantabulous Hot German Potato Salad","onion"
"Fantabulous Hot German Potato Salad","chicken stock"
"Fantabulous Hot German Potato Salad","bacon"
"Fantabulous Hot German Potato Salad","apple cider vinegar"
"Fantabulous Hot German Potato Salad","sugar"
"Fantabulous Hot German Potato Salad","mustard seed"
"Fantabulous Hot German Potato Salad","flour"
"German Dumplings","potato"
"German Dumplings","egg"
"German Dumplings","flour"
"German Dumplings","milk"
"German Dumplings","salt and pepper"
"Sauerkraut Salad","sauerkraut"
"Sauerkraut Salad","carrot"
"Sauerkraut Salad","radish"
"Sauerkraut Salad","celery"
"Sauerkraut Salad","red onion"
"Sauerkraut Salad","dill seed"
"Sauerkraut Salad","lite olive oil"
"Sauerkraut Salad","sugar"
"Sauerkraut Salad","salt and pepper"
"Dumplings for Soup","egg"
"Dumplings for Soup","salt"
"Dumplings for Soup","soup stock"
"Dumplings for Soup","water"
"Dumplings for Soup","margarine"
"Dumplings for Soup","flour"
"Potato-Balls II - Kartoffelkloesse (pronounced Kleasa)","potato"
"Potato-Balls II - Kartoffelkloesse (pronounced Kleasa)","boiled potato"
"Potato-Balls II - Kartoffelkloesse (pronounced Kleasa)","milk"
"Potato-Balls II - Kartoffelkloesse (pronounced Kleasa)","salt"
"Potato-Balls II - Kartoffelkloesse (pronounced Kleasa)","bread"
"Potato-Balls II - Kartoffelkloesse (pronounced Kleasa)","butter"
"Ham and eggs - Schinken mit Ei","butter"
"Ham and eggs - Schinken mit Ei","ham"
"Ham and eggs - Schinken mit Ei","egg"
"Ham and eggs - Schinken mit Ei","salt"
"Cheese-Eggs with bacon and peppers","bacon"
"Cheese-Eggs with bacon and peppers","onion"
"Cheese-Eggs with bacon and peppers","bell pepper"
"Cheese-Eggs with bacon and peppers","mild cheese"
"Cheese-Eggs with bacon and peppers","egg"
"Cheese-Eggs with bacon and peppers","chive"
"Cheese-Eggs with bacon and peppers","salt and pepper"
"Hot German Potato Salad","bacon"
"Hot German Potato Salad","sugar"
"Hot German Potato Salad","distilled white vinegar"
"Hot German Potato Salad","egg"
"Hot German Potato Salad","salt"
"Hot German Potato Salad","mustard"
"Hot German Potato Salad","cayenne pepper"
"Hot German Potato Salad","potato"
"Hot German Potato Salad","onion"
"Sauerkraut Soup Pittsburgh","short rib of beef"
"Sauerkraut Soup Pittsburgh","onion"
"Sauerkraut Soup Pittsburgh","cooking oil"
"Sauerkraut Soup Pittsburgh","sauerkraut"
"Sauerkraut Soup Pittsburgh","stock"
"Sauerkraut Soup Pittsburgh","peppercorn"
"Sauerkraut Soup Pittsburgh","bay leaf"
"Sauerkraut Soup Pittsburgh","tomato"
"Salsa Reuben Dip","cream cheese"
"Salsa Reuben Dip","sour cream"
"Salsa Reuben Dip","corned beef"
"Salsa Reuben Dip","swiss cheese"
"Salsa Reuben Dip","sauerkraut"
"Salsa Reuben Dip","garlic"
"German Scones (deep fried)","dry yeast"
"German Scones (deep fried)","water"
"German Scones (deep fried)","sugar"
"German Scones (deep fried)","sugar"
"German Scones (deep fried)","boiling water"
"German Scones (deep fried)","margarine"
"German Scones (deep fried)","salt"
"German Scones (deep fried)","egg"
"German Scones (deep fried)","flour"
"Mock Sauerbraten","italian dressing"
"Mock Sauerbraten","water"
"Mock Sauerbraten","bay leaf"
"Mock Sauerbraten","clove"
"Mock Sauerbraten","peppercorn"
"Mock Sauerbraten","ground ginger"
"Mock Sauerbraten","rump roast"
"Mock Sauerbraten","water"
"Sausage, Sauerkraut &amp; Apples","sauerkraut"
"Sausage, Sauerkraut &amp; Apples","smoked turkey sausage"
"Sausage, Sauerkraut &amp; Apples","tart cooking apple"
"Sausage, Sauerkraut &amp; Apples","brown sugar"
"Sausage, Sauerkraut &amp; Apples","salt"
"Sausage, Sauerkraut &amp; Apples","pepper"
"Sausage, Sauerkraut &amp; Apples","cider"
"Porked Sauerkraut","sauerkraut"
"Porked Sauerkraut","onion"
"Porked Sauerkraut","beer"
"Fleischmann's Kifle","sour cream"
"Fleischmann's Kifle","water"
"Fleischmann's Kifle","all-purpose flour"
"Fleischmann's Kifle","butter"
"Fleischmann's Kifle","egg yolk"
"Fleischmann's Kifle","egg white"
"Fleischmann's Kifle","sugar"
"Fleischmann's Kifle","vanilla extract"
"Fleischmann's Kifle","ground walnut"
"Fleischmann's Kifle","mini chocolate chip"
"German Potato Pancakes","potato"
